link,address,list_price,beds,baths,sqft
https://www.zillow.com/homedetails/1080-W-Main-St-Berne-IN-46711/85082654_zpid/,"1080 W Main St, Berne, IN 46711",,3,2,1962
https://www.zillow.com/homedetails/1090-W-400-S-Berne-IN-46711/85089862_zpid/,"1090 W 400 S, Berne, IN 46711",,3,1.5,1485
https://www.zillow.com/homedetails/1095-S-Us-Highway-27-Berne-IN-46711/243086393_zpid/,"1095 S Us Highway 27, Berne, IN 46711",,2,1.5,1855
https://www.zillow.com/homedetails/1096-Hendricks-St-Berne-IN-46711/85083415_zpid/,"1096 Hendricks St, Berne, IN 46711",,4,1.5,1628
https://www.zillow.com/homedetails/11-E-700-S-Berne-IN-46711/85083108_zpid/,"11 E 700 S, Berne, IN 46711",,2,0,1665
https://www.zillow.com/homedetails/110-E-550-S-Berne-IN-46711/85090451_zpid/,"110 E 550 S, Berne, IN 46711",,3,2,2519
https://www.zillow.com/homedetails/110-Hahnemann-Ct-Berne-IN-46711/97900746_zpid/,"110 Hahnemann Ct, Berne, IN 46711",,2,2,1494
https://www.zillow.com/homedetails/110-Poplar-Ave-Berne-IN-46711/85083359_zpid/,"110 Poplar Ave, Berne, IN 46711",,2,3,3652
https://www.zillow.com/homedetails/1100-Swiss-Way-Berne-IN-46711/249944586_zpid/,"1100 Swiss Way, Berne, IN 46711",,3,0,936
https://www.zillow.com/homedetails/1105-W-Clark-St-Berne-IN-46711/85090037_zpid/,"1105 W Clark St, Berne, IN 46711",,3,2,3686
https://www.zillow.com/homedetails/1105-W-Main-St-Berne-IN-46711/85090053_zpid/,"1105 W Main St, Berne, IN 46711",,3,1,1230
https://www.zillow.com/homedetails/1105-W-Water-St-Berne-IN-46711/85090027_zpid/,"1105 W Water St, Berne, IN 46711",,3,2,1580
https://www.zillow.com/homedetails/1105-Westwind-Trl-Berne-IN-46711/85089930_zpid/,"1105 Westwind Trl, Berne, IN 46711",,3,2,1322
https://www.zillow.com/homedetails/1106-Mill-Pond-Rd-Berne-IN-46711/85083798_zpid/,"1106 Mill Pond Rd, Berne, IN 46711",,3,2.5,1815
https://www.zillow.com/homedetails/1106-W-Clark-St-Berne-IN-46711/85090051_zpid/,"1106 W Clark St, Berne, IN 46711",,3,2,1476
https://www.zillow.com/homedetails/1106-W-Water-St-Berne-IN-46711/85090026_zpid/,"1106 W Water St, Berne, IN 46711",,3,2,1583
https://www.zillow.com/homedetails/111-W-400-S-Berne-IN-46711/227853514_zpid/,"111 W 400 S, Berne, IN 46711",,5,0,4176
https://www.zillow.com/homedetails/1110-W-400-S-Berne-IN-46711/85089864_zpid/,"1110 W 400 S, Berne, IN 46711",,3,2.5,2352
https://www.zillow.com/homedetails/1111-Westwind-Trl-Berne-IN-46711/85089945_zpid/,"1111 Westwind Trl, Berne, IN 46711",,3,2.5,1787
https://www.zillow.com/homedetails/1117-W-Main-St-Berne-IN-46711/85090041_zpid/,"1117 W Main St, Berne, IN 46711",,3,2,1648
https://www.zillow.com/homedetails/1117-W-Water-St-Berne-IN-46711/85090043_zpid/,"1117 W Water St, Berne, IN 46711",,3,2,1480
https://www.zillow.com/homedetails/1117-Westwind-Trl-Berne-IN-46711/85089931_zpid/,"1117 Westwind Trl, Berne, IN 46711",,4,2.5,1715
https://www.zillow.com/homedetails/1118-W-Clark-St-Berne-IN-46711/85090042_zpid/,"1118 W Clark St, Berne, IN 46711",,3,1.5,1349
https://www.zillow.com/homedetails/1118-W-Water-St-Berne-IN-46711/85090031_zpid/,"1118 W Water St, Berne, IN 46711",,3,2.5,1430
